age,bio,job,school,anthem_title,anthem_artist,gender,descriptor_text,interest_text,total_photos,desition,longitud,latitud,hash_key,descriptor,interest,city_hashed
23.0,a sunset and an mc; i don't ask for more,['NotSpecified'],,CANDY,ROSALÍA,Woman,|Dog, tattoos grab a drink art fashion exhibition,8,2,-3.684574,40.415211,-6.994311023003905e+18,['Dog'],"['Tattoos', 'Grab a drink', 'Art', 'Fashion', 'Exhibition']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
20.0,i'm the funny one i sleep and play while laughing  ,['NotSpecified'],,LIKE A ROCKSTAR,Chase Atlantic,Woman,|Non-smoker|Pisces|Dog|B time texter, gamer swimming music dancing dog lover,9,2,-3.684574,40.415211,2.8611208926405253e+18,"['Non-smoker', 'Pisces', 'Dog', 'B time texter']","['Gamer', 'Swimming', 'Music', 'Dancing', 'Dog lover']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
20.0,wanting to meet people:) ,['NotSpecified'],Universidad Europea de Madrid,Otra Noche en Miami,Bad Bunny,Woman,|Aquarius|Better in person|Sober|Socially active|Non-smoker|Dog|Gym rat, dog lover grab a drink netflix reggaeton music,9,2,-3.684574,40.415211,-7.763972957283492e+17,"['Aquarius', 'Better in person', 'Sober', 'Socially active', 'Non-smoker', 'Dog', 'Gym rat']","['Dog lover', 'Grab a drink', 'Netflix', 'Reggaeton', 'Music']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
23.0,:face_with_tongue:  ,['NotSpecified'],,,,Woman,, travel sports party animal,12,2,-3.684574,40.415211,-3.5705722101635533e+18,[],"['Travel', 'Sports', 'Party Animal']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
20.0,dance:black_heart:,['Monitora de zumba'],,,,Woman,,nan,12,2,-3.684574,40.415211,-7.139186048493607e+18,[],[],500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
28.0,we are all full of substance. interested in only those brave and open enough to share it here,['Working in Fashion & Sound Therapy'],,,,Woman,|Non-smoker|Aquarius|Dog, walking plant-based writer fashion reading,11,2,-3.684574,40.415211,-5.815591571582667e+18,"['Non-smoker', 'Aquarius', 'Dog']","['Walking', 'Plant-based', 'Writer', 'Fashion', 'Reading']",8dabea82129963f6c8de553a4e21fa7ea2408d19870104d272eafcd859bb0264
23.0,instagram :,['Hospital La Paz'],,,,Woman,, grab a drink travel music movies reggaeton,9,2,-3.684574,40.415211,-3.690291407253575e+18,[],"['Grab a drink', 'Travel', 'Music', 'Movies', 'Reggaeton']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
18.0,"it's a joke, but if you want, it's not a joke ;)   i listen to various genres of music; people who only listen to one thing have no rights :))   i like people with style.   and little more laughter   the spotify thing is a little strange   insta: whotfisangi",['NotSpecified'],,Standing Next To Me,The Last Shadow Puppets; Alex Turner; Miles Kane,Woman,|Libra|Non-smoker|Sober|Socially active|Occasionally|Flexitarian|In College, picnicking music baking walking travel,11,2,-3.684574,40.415211,7.611391145096002e+18,"['Libra', 'Non-smoker', 'Sober', 'Socially active', 'Occasionally', 'Flexitarian', 'In College']","['Picnicking', 'Music', 'Baking', 'Walking', 'Travel']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21.0,nan,['NotSpecified'],,,,Woman,|Libra|Bad texter|Socially active|Non-smoker|Beer|Gym rat|Bachelors, travel foodie grab a drink fashion dancing,10,2,-3.684574,40.415211,1.2317212856786847e+18,"['Libra', 'Bad texter', 'Socially active', 'Non-smoker', 'Beer', 'Gym rat', 'Bachelors']","['Travel', 'Foodie', 'Grab a drink', 'Fashion', 'Dancing']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
22.0,"i'm tired and i still can't stay still; i blame the coffee. if you like reading and sports, i like you",['NotSpecified'],University of Santiago de Compostela Universidad de Santiago de Compostela,,,Woman,,nan,13,2,-3.684574,40.415211,5.637557848033545e+18,[],[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
25.0,this is tow,['Enfermera'],,,,Woman,|Non-smoker|Capricorn, travel hiking sports,15,2,-3.684574,40.415211,-7.307568940925238e+18,"['Non-smoker', 'Capricorn']","['Travel', 'Hiking', 'Sports']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
20.0,:ringed_planet::mushroom::sparkles::butterfly::water_wave::skateboard::nazar_amulet::person_in_lotus_position_medium_skin_tone: insta:   good vibes :)) fan de los sunsets,['NotSpecified'],,Re-Member,Rels B,Woman,|Gemini|B time texter|Socially active|Non-smoker|Cocktails|Dog|Gym rat, nature travel netflix music tattoos,13,2,-3.684574,40.415211,-5.78117332910963e+18,"['Gemini', 'B time texter', 'Socially active', 'Non-smoker', 'Cocktails', 'Dog', 'Gym rat']","['Nature', 'Travel', 'Netflix', 'Music', 'Tattoos']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
24.0,my personality is % how i met your mother and % books,['NotSpecified'],,,,Woman,|Aquarius|B time texter, museum party animal disney fashion,10,2,-3.684574,40.415211,2.6007579804540626e+18,"['Aquarius', 'B time texter']","['Museum', 'Party Animal', 'Disney', 'Fashion']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21.0,:italy::spain:,['NotSpecified'],Università degli Studi di Roma La Sapienza,,,Woman,|Socially active|Occasionally|Capricorn|All the drinks|Carnivore|In College|Smoker, party animal travel extrovert exhibition,12,2,-3.684574,40.415211,1.0289503685016945e+18,"['Socially active', 'Occasionally', 'Capricorn', 'All the drinks', 'Carnivore', 'In College', 'Smoker']","['Party Animal', 'Travel', 'Extrovert', 'Exhibition']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
19.0,:round_pushpin:san juan  :uruguay:/:spain: just for fun :) ,['NotSpecified'],Universidad Complutense de Madrid,Mami,Ptazeta; Juacko,Woman,|Cancer|Better in person|Socially active|Occasionally|All the drinks|Flexitarian|All the pets|In College|Smoker, festivals instagram party animal travel tattoos,15,2,-3.684574,40.415211,-7.508379549546113e+17,"['Cancer', 'Better in person', 'Socially active', 'Occasionally', 'All the drinks', 'Flexitarian', 'All the pets', 'In College', 'Smoker']","['Festivals', 'Instagram', 'Party Animal', 'Travel', 'Tattoos']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
19.0,i try to be a girl without problems i'm also a dancer:victory_hand_medium-light_skin_tone:,['NotSpecified'],,Lollipop,MIKA,Woman,, travel working out,15,2,-3.684574,40.415211,4.3703016461350047e+18,[],"['Travel', 'Working out']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
23.0,:united_kingdom: in madrid till sunday,['Journalist'],University of Oxford,,,Woman,, travel language exchange working out,9,2,-3.684574,40.415211,7.458458723355725e+18,[],"['Travel', 'Language Exchange', 'Working out']",76591b5b3bd1e8c779278746b1bc0bd4d5be42a7c3d5c52acff7ca21f908354c
22.0,"; / drunk but a good girl nurse by profession and an attempt at being a writer in my free time. i want to meet someone; if you are looking for a hobby, i'm looking for you.",['NotSpecified'],,,,Woman,|Libra|Socially active|Occasionally|Non-smoker|Carnivore|Dog, netflix music party animal,10,2,-3.684574,40.415211,-3.136102471351392e+18,"['Libra', 'Socially active', 'Occasionally', 'Non-smoker', 'Carnivore', 'Dog']","['Netflix', 'Music', 'Party Animal']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
26.0,on a trip with my moms to menorca; we're looking for a place to go out partying :sparkles: veterinarian :stethoscope: backpacker :backpack: i can't stand even days with the same hairstyle :scissors:,['NotSpecified'],,,,Woman,|Cat|Non-smoker|Virgo, nature travel music festivals,15,2,-3.684574,40.415211,-7.281370396709487e+18,"['Cat', 'Non-smoker', 'Virgo']","['Nature', 'Travel', 'Music', 'Festivals']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
18.0,and leave nothing to the imagination ?,['To be decided'],IE University IE Universidad,,,Woman,|Cancer|Better in person|Socially active|Cocktails|Never|Bachelors, comedy language exchange extrovert,12,2,-3.684574,40.415211,-6.156676022863773e+18,"['Cancer', 'Better in person', 'Socially active', 'Cocktails', 'Never', 'Bachelors']","['Comedy', 'Language Exchange', 'Extrovert']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
22.0,roller :roller_skate: nutricionista en proceso :watermelon:  just for fun :love-you_gesture:,['NotSpecified'],,I'm in the Mood for Dancing,The Nolans,Woman,, dancing running music,10,2,-3.684574,40.415211,3.2216940451988526e+18,[],"['Dancing', 'Running', 'Music']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
24.0,i really like beer and hiking. i really like animals:smiling_face_with_heart-eyes:,['Estudiante de Enfermeria at ULE'],,Estopa,Estopa,Woman,|Pisces|Better in person|Omnivore|Socially active|Occasionally|Non-smoker|Beer|All the pets|In College, craft beer party animal outdoors walking cooking,11,2,-5.669032304,43.53326807,3.059788895265755e+18,"['Pisces', 'Better in person', 'Omnivore', 'Socially active', 'Occasionally', 'Non-smoker', 'Beer', 'All the pets', 'In College']","['Craft Beer', 'Party Animal', 'Outdoors', 'Walking', 'Cooking']",d050c79dd8bee6796462392135aff3a72587a750c54f7e49719014adef009cab
24.0,we are camping girls from llanes :camping: we are looking for party people to go out for some cider with! :bottle_with_popping_cork:,['NotSpecified'],,,,Woman,, sports tattoos camping travel party animal,6,2,-5.669032304,43.53326807,1.2623918780423593e+18,[],"['Sports', 'Tattoos', 'Camping', 'Travel', 'Party Animal']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
20.0,philosophy. philosophy ucm,['NotSpecified'],Universidad Complutense de Madrid,,,Woman,|Leo|Better in person|Socially active|Occasionally|Wine|Dog|In College|Smoker, museum singer politics movies,9,2,-5.669032304,43.53326807,5.347801084304018e+18,"['Leo', 'Better in person', 'Socially active', 'Occasionally', 'Wine', 'Dog', 'In College', 'Smoker']","['Museum', 'Singer', 'Politics', 'Movies']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
20.0,:camera_with_flash:: saragutiierrez,['Estudiante'],Universidad de Oviedo,,,Woman,,nan,7,2,-5.669032304,43.53326807,1.0425483436596864e+18,[],[],0d07812acf116bfa6cf707603adf0756e657ea876c84eda899e5601ddab59d22
20.0,if you like the neighborhood we can date directly ;),['NotSpecified'],University of Oviedo Universidad de Oviedo,,,Woman,|Aquarius|B time texter|Non-smoker|All the drinks|Pet-free, tattoos music netflix coffee,7,2,-5.669032304,43.53326807,1.8392184615295304e+18,"['Aquarius', 'B time texter', 'Non-smoker', 'All the drinks', 'Pet-free']","['Tattoos', 'Music', 'Netflix', 'Coffee']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21.0,i just come to stunk  ,['NotSpecified'],,Lo Que en Silencio Guardo,Kaze,Woman,|Cat|Occasionally|Wine|Vegetarian|In College, brunch travel,6,2,-5.669032304,43.53326807,-6.966580170138073e+18,"['Cat', 'Occasionally', 'Wine', 'Vegetarian', 'In College']","['Brunch', 'Travel']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21.0,:last_quarter_moon_face: en virgo,['NotSpecified'],Universidad de Oviedo,Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,Woman,|Scorpio|Better in person|Socially active|Coffee|Vegetarian|Pet-free|Never|Smoker, nature photography fashion music,11,2,-5.669032304,43.53326807,-6.521401634434977e+18,"['Scorpio', 'Better in person', 'Socially active', 'Coffee', 'Vegetarian', 'Pet-free', 'Never', 'Smoker']","['Nature', 'Photography', 'Fashion', 'Music']",d050c79dd8bee6796462392135aff3a72587a750c54f7e49719014adef009cab
27.0,"lover of cold beer, loud music and quiet sundays",['Marketing Dital'],,Somethinggreater,Parcels,Woman,|Dog|Masters, festivals movies music,9,2,-5.669032304,43.53326807,-1.7334310786275697e+18,"['Dog', 'Masters']","['Festivals', 'Movies', 'Music']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
29.0,"years. gijón. i'm looking to meet people; if possible, normal in the head (that must be a lot to ask for these days) and then whatever may come up; i'm not closed to anything; but whatever has to come should be healthy and positive. i love animals; cider; reading. if we have a match, talk to me.",['NotSpecified'],,,,Woman,|Pisces|B time texter|Socially active|Occasionally|Non-smoker|Wine|Carnivore|Dog, coffee fashion cooking,8,2,-5.669032304,43.53326807,-5.641489004677071e+18,"['Pisces', 'B time texter', 'Socially active', 'Occasionally', 'Non-smoker', 'Wine', 'Carnivore', 'Dog']","['Coffee', 'Fashion', 'Cooking']",d050c79dd8bee6796462392135aff3a72587a750c54f7e49719014adef009cab
19.0,i'm bea; even though tinder doesn't want to say it.  :),['Estudiante de Biología'],Universidad de Oviedo,Bad Liar,Imagine Dragons,Woman,|Better in person|Omnivore|Cat|Non-smoker|Socially active|All the drinks|In College, photography music coffee,6,2,-5.669032304,43.53326807,-2.8539218388200786e+18,"['Better in person', 'Omnivore', 'Cat', 'Non-smoker', 'Socially active', 'All the drinks', 'In College']","['Photography', 'Music', 'Coffee']",d050c79dd8bee6796462392135aff3a72587a750c54f7e49719014adef009cab
21.0,cm,['NotSpecified'],Pamplona,Paranoid,Palaye Royale,Woman,|Leo|Dog|Smoker, museum travel netflix tattoos music,10,2,-5.669032304,43.53326807,5.973491162061695e+18,"['Leo', 'Dog', 'Smoker']","['Museum', 'Travel', 'Netflix', 'Tattoos', 'Music']",9065ffeafdfd43b6a36304ed561dd7914211b0b063bc9c7c3cc7e020e74ae3b7
23.0,:round_pushpin:,['NotSpecified'],,,,Woman,|Aries, working out music,7,2,-5.669032304,43.53326807,5.35266139961319e+18,['Aries'],"['Working out', 'Music']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21.0,  asturias :butterfly::butterfly:,['NotSpecified'],uniovi,Selfish - Shlohmo Remix,PnB Rock; Shlohmo,Woman,|Virgo|Phone caller|All the drinks|Smoker, astrology party animal art music movies,8,2,-5.669032304,43.53326807,8.017310515860526e+18,"['Virgo', 'Phone caller', 'All the drinks', 'Smoker']","['Astrology', 'Party Animal', 'Art', 'Music', 'Movies']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
20.0,:clinking_beer_mugs::clinking_beer_mugs: the person your dog would like this profile is not fascist friendly nothing of a one night stand.,['Estudiante'],,,,Woman,|Socially active|All the pets, travel party animal hiking extrovert,7,2,-5.669032304,43.53326807,-9.142486638033906e+17,"['Socially active', 'All the pets']","['Travel', 'Party Animal', 'Hiking', 'Extrovert']",fa09f9d976c97495c1f5d1a5de5c6fad93dd06a986a8b6c8c3f37e4154a87b21
20.0,:rose: ;,['NotSpecified'],,Psycho; Pt. 2,Russ,Woman,|Aquarius|Better in person|Socially active|Dog, music working out fashion art soccer,6,2,-5.669032304,43.53326807,4.952016191934367e+18,"['Aquarius', 'Better in person', 'Socially active', 'Dog']","['Music', 'Working out', 'Fashion', 'Art', 'Soccer']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
23.0,i like normal people :full_moon_face: who appreciate sunsets; who like a good coffee; a beer in the sun; a book on the beach; a trip with good music; rolling down the window when it already smells like summer; good conversations…  :sun_with_face::sparkles::yellow_heart:,['NotSpecified'],,,,Woman,|Virgo|Better in person|Non-smoker, travel reading road trips coffee sports,10,2,-5.669032304,43.53326807,4.646779268875727e+18,"['Virgo', 'Better in person', 'Non-smoker']","['Travel', 'Reading', 'Road Trips', 'Coffee', 'Sports']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21.0,i have ; tinder made a mistake :) ,['NotSpecified'],,,,Woman,, travel reading karaoke music tattoos,5,2,-5.669032304,43.53326807,-5.468070829778225e+18,[],"['Travel', 'Reading', 'Karaoke', 'Music', 'Tattoos']",d050c79dd8bee6796462392135aff3a72587a750c54f7e49719014adef009cab
